text,emotion,source
I feel the most comforted when the misinformed are the most vocal.  #pleasedontspeak,sarcasm,tweeteval_irony_train
@user Jackie Just Had the Best Joke I've Heard In Awhile| 😂😩🙈🙈🙈,sarcasm,tweeteval_irony_train
"@user if you don't want to upgrade your iOS or keep many pictures, yeah it's great",sarcasm,tweeteval_irony_train
Done to much again,sarcasm,tweeteval_irony_train
I cant even watch anime in japan...,sarcasm,tweeteval_irony_train
Thanks @user for taking down <3 We all love you for this <3,sarcasm,tweeteval_irony_validation
@user Like I need to be reminded of BP Cup competition dates!,sarcasm,tweeteval_irony_validation
"@user @user @user I guess this is where he lost a couple of million to Lambias, is it?   #LudicrousStory",sarcasm,tweeteval_irony_validation
@user We should monitor them...,sarcasm,tweeteval_irony_train
"The word ""#Trust"" coming out of the mouths of #Holder or #Obama is just rich with  and #hypocrisy. #IRS #racebaiters",sarcasm,tweeteval_irony_validation
@user @user @user Just wait till Cleveland comes again! #sarcasm,sarcasm,tweeteval_irony_test
Another @user  moment. We can't be bothered to fix your broadband problem but would you like to buy an Iphone6 of us! HELL NO!!,sarcasm,tweeteval_irony_train
The Penguins cancelled their morning skate today...due to icy conditions.  #butseriouslytheroadsarebad,sarcasm,tweeteval_irony_train
My stomach is a Wonderland for gas inducing bacteria. #blessed,sarcasm,tweeteval_irony_train
"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself",sarcasm,tweeteval_irony_test
@user you could probably just call or text her that information. #allcelebritiesarefriends,sarcasm,tweeteval_irony_train
"It's okay, you know playing loud music during quiet hours is perfectly fine..  #somepplhavetostudy",sarcasm,tweeteval_irony_train
Last day of school it was so much fun but not much people came. what a shocker,sarcasm,tweeteval_irony_validation
"On the train and surrounded by posh people, I'm so at home! #not #stickoutlikeasorethumb",sarcasm,tweeteval_irony_test
Wow am I glad that I have to cycle through this weather.||,sarcasm,tweeteval_irony_train
"@user nice, lazy search in google scholar couldn't find a free copy - openaccess for the win",sarcasm,tweeteval_irony_validation
@user @user more people are in prison because of drug related crimes. But you know gun crime is up #sarcasm,sarcasm,tweeteval_irony_test
"20 years ago I arrived in CR, happy to leave behind all the malls and rampant materialism of the US. Went xmas shopping in PRG today #irony",sarcasm,tweeteval_irony_test
Watching VT and Cincy - qb for VT with (GODS) down left arm (GIFT) down right arm. - #irony #howmanygods #punctuationmatters,sarcasm,tweeteval_irony_test
#MuslimApologies – 10 Tweets that Explain What Muslims Should be Sorry for!,sarcasm,tweeteval_irony_train
Blowing your nose so hard your ears pop is the greatest way to start a Wednesday.,sarcasm,tweeteval_irony_train
Yay for getting pink eye again!  #whyme,sarcasm,tweeteval_irony_validation
@user what a way to start the new year,sarcasm,tweeteval_irony_train
A wonderful day of starting work at 6am,sarcasm,tweeteval_irony_train
MLS Transactions 2015 #MLS making waves again   2 b fair it will take more than 2 players to fix this,sarcasm,tweeteval_irony_train
Well throwing up at 6:00 am is always fun ☺|,sarcasm,tweeteval_irony_train
@user nice to know that you give me so much importance. :)  :] @user n,sarcasm,tweeteval_irony_train
650 return flight. Why I love my family. #familyvacation,sarcasm,tweeteval_irony_train
Can't believe @user is even considering renaming the Academic Building after Perry...b/c he did so much great stuff for public educ?,sarcasm,tweeteval_irony_train
There is nothing I love more than listening to the black eyed peas on the way home from a Saturday night loss in petrolia #killerband,sarcasm,tweeteval_irony_train
At least my tan looks good 😳😂  need to learn to appreciate my pale skin 🙈,sarcasm,tweeteval_irony_train
what a good time to start voting again  #BestNewArtist Fifth Harmony,sarcasm,tweeteval_irony_validation
A romantic candlelit dinner for two would cost less if you switched the lights on -  ESKOM pic from the 1990's,sarcasm,tweeteval_irony_train
Can you write your name on a paper and take a picture ... — I can but I'm busy answering this question oh...,sarcasm,tweeteval_irony_train
I love being wide awake at 4am  #insomnia #nosleepdecember,sarcasm,tweeteval_irony_train
My luck just keeps getting better and better,sarcasm,tweeteval_irony_validation
Funny Annoying You Men's Tee Great for family reunions! #funny  #tees,sarcasm,tweeteval_irony_train
Glad @user is excited to see me..... 😒,sarcasm,tweeteval_irony_train
Now I see why this play wasn't reviewed. Because it wasn't even close.,sarcasm,tweeteval_irony_validation
Two people got me socks. Clutch af.,sarcasm,tweeteval_irony_validation
